iter	Logloss
0	0.6882480237
1	0.6838755788
2	0.6794007227
3	0.6756981974
4	0.6724537182
5	0.6692865344
6	0.6664568961
7	0.6638072293
8	0.6611274249
9	0.6589260105
10	0.6565324031
11	0.6542980884
12	0.6525392925
13	0.6506741368
14	0.6491004774
15	0.6475956824
16	0.6460366595
17	0.6445164645
18	0.643348381
19	0.6421254339
20	0.6410704785
21	0.6402087732
22	0.6392981243
23	0.6383263779
24	0.63732093
25	0.6364871142
26	0.6357796894
27	0.6350031219
28	0.6340003687
29	0.6334735387
30	0.6329596881
31	0.6324332235
32	0.6319334593
33	0.6313594146
34	0.6309797349
35	0.6302614722
36	0.6298527186
37	0.629379571
38	0.6288807797
39	0.6284538714
40	0.6280997489
41	0.6276098358
42	0.6270657472
43	0.6265917178
44	0.6261088105
45	0.6257720798
46	0.6252594546
47	0.6247801222
48	0.6243646525
49	0.6241132981
50	0.6238272723
51	0.6234721783
52	0.6231979155
53	0.6229133752
54	0.6225406506
55	0.6221451178
56	0.6218839847
57	0.6213842923
58	0.6211174854
59	0.6207805603
60	0.620531754
61	0.6200492286
62	0.6197930412
63	0.6194954233
64	0.6191226813
65	0.6189652577
66	0.6186161385
67	0.6178217007
68	0.6174449212
69	0.6169864658
70	0.6167982828
71	0.6165860175
72	0.6163116318
73	0.6160824346
74	0.615799543
75	0.6155614496
76	0.6151863364
77	0.6150401221
78	0.6147395823
79	0.6145273671
80	0.614245547
81	0.6140901194
82	0.613859314
83	0.6136344456
84	0.6134648255
85	0.6132486348
86	0.6130509582
87	0.6128450441
88	0.6126385611
89	0.6124989816
90	0.6122604004
91	0.6121106722
92	0.6119784876
93	0.6117153765
94	0.6115376267
95	0.6113414332
96	0.6111019826
97	0.6109877671
98	0.6109008967
99	0.610754553
100	0.6105204666
101	0.6104364859
102	0.6102162581
103	0.6100312406
104	0.6098628982
105	0.6097744493
106	0.6095674957
107	0.6094236486
108	0.6092085119
109	0.6091141054
110	0.6089921016
111	0.6088360061
112	0.6087259256
113	0.6085858595
114	0.608365866
115	0.6082735948
116	0.6079779597
117	0.6076590323
118	0.6074859459
119	0.6072823715
120	0.6071356281
121	0.6069456181
122	0.6068160715
123	0.6067003791
124	0.6065586618
125	0.6064215726
126	0.6063016097
127	0.6061831775
128	0.6061043442
129	0.6059786834
130	0.6058028675
131	0.6056194959
132	0.6054470204
133	0.6053296038
134	0.6051391261
135	0.6050250975
136	0.6048973906
137	0.6048205062
138	0.6047274247
139	0.6045878563
140	0.6045210093
141	0.6044218618
142	0.6041377837
143	0.6039794683
144	0.6038632359
145	0.6036678873
146	0.6035143519
147	0.6033269062
148	0.6031929007
149	0.6030544675
150	0.6029608231
151	0.6028567941
152	0.6027117003
153	0.6026170695
154	0.6025453811
155	0.6024409298
156	0.6023432685
157	0.6022271519
158	0.6020767638
159	0.6018797425
160	0.6017854074
161	0.601671568
162	0.6015698429
163	0.6014960813
164	0.6013504796
165	0.6012520956
166	0.6011337457
167	0.601079555
168	0.6009048872
169	0.600768162
170	0.6006230687
171	0.6005806981
172	0.6004911388
173	0.6003480811
174	0.6002456347
175	0.6001397849
176	0.6000773163
177	0.6000012723
178	0.5998758988
179	0.5998236667
180	0.5997484683
181	0.5996553218
182	0.5995363619
183	0.5994559881
184	0.5993822309
185	0.5992746117
186	0.5991718032
187	0.5991073066
188	0.5989945892
189	0.598917177
190	0.5988037331
191	0.5986282
192	0.5985338509
193	0.598426044
194	0.5983229196
195	0.5982433483
196	0.5981626158
197	0.5980067004
198	0.5978915069
199	0.5978187994
200	0.597740719
201	0.5976507883
202	0.5975875606
203	0.5974410727
204	0.5973958699
205	0.5973273553
206	0.597237251
207	0.5971392599
208	0.5970728558
209	0.596913869
210	0.5968284526
211	0.5967275977
212	0.5966516434
213	0.596489235
214	0.5963239428
215	0.5962480017
216	0.5961287077
217	0.5960522052
218	0.5959039814
219	0.5958583983
220	0.5957773817
221	0.5956475669
222	0.5955950402
223	0.5955208259
224	0.5954560143
225	0.5953619005
226	0.5952762904
227	0.5951777091
228	0.5950977473
229	0.5950252237
230	0.5948928424
231	0.59483244
232	0.5947691802
233	0.5947027797
234	0.5946504274
235	0.5945670636
236	0.5944165319
237	0.5943362009
238	0.5942669235
239	0.594194246
240	0.594133711
241	0.5940626307
242	0.5940012635
243	0.5939199102
244	0.593814703
245	0.5936799675
246	0.5936114959
247	0.5935419405
248	0.5934805751
249	0.5933828134
250	0.5932527896
251	0.5931431654
252	0.5930495959
253	0.5929646291
254	0.5928917669
255	0.5927782437
256	0.5927254493
257	0.5926201861
258	0.5925283633
259	0.5924501587
260	0.5923239749
261	0.5922520904
262	0.5921904176
263	0.5920912738
264	0.591986743
265	0.5919188884
266	0.5917972199
267	0.5917108654
268	0.5915912807
269	0.5915135594
270	0.5914202782
271	0.5913459447
272	0.5912498791
273	0.5911544508
274	0.5910844973
275	0.5909881778
276	0.5909330139
277	0.5908406397
278	0.5907534671
279	0.5906360796
280	0.5905672389
281	0.5905033631
282	0.5904052329
283	0.5903258461
284	0.5902057629
285	0.5900712923
286	0.58993219
287	0.5898540807
288	0.5897856916
289	0.5896832108
290	0.5896134936
291	0.5895615336
292	0.5894706935
293	0.5893402769
294	0.589248004
295	0.5891834756
296	0.5891129228
297	0.5889957549
298	0.588899543
299	0.5888039599
