iter	Passed	Remaining
0	198	59221
1	255	38115
2	300	29748
3	321	23794
4	357	21066
5	388	19016
6	416	17423
7	440	16081
8	474	15358
9	499	14483
10	523	13766
11	547	13140
12	572	12645
13	597	12200
14	657	12501
15	699	12410
16	737	12270
17	778	12201
18	804	11891
19	832	11653
20	854	11357
21	875	11059
22	897	10811
23	915	10532
24	937	10312
25	963	10156
26	987	9985
27	1005	9764
28	1029	9624
29	1056	9507
30	1079	9371
31	1099	9210
32	1117	9038
33	1139	8911
34	1155	8750
35	1175	8616
36	1194	8487
37	1218	8398
38	1242	8313
39	1266	8233
40	1285	8123
41	1307	8034
42	1332	7965
43	1354	7883
44	1380	7823
45	1401	7737
46	1422	7658
47	1442	7573
48	1466	7512
49	1490	7454
50	1516	7403
51	1540	7345
52	1566	7302
53	1593	7258
54	1614	7190
55	1635	7124
56	1660	7079
57	1686	7038
58	1709	6981
59	1735	6940
60	1754	6876
61	1776	6820
62	1798	6766
63	1818	6704
64	1837	6641
65	1863	6607
66	1884	6553
67	1911	6522
68	1938	6489
69	1961	6446
70	1984	6402
71	2008	6361
72	2038	6337
73	2061	6297
74	2086	6259
75	2109	6216
76	2133	6178
77	2159	6145
78	2182	6104
79	2207	6070
80	2233	6038
81	2258	6004
82	2283	5970
83	2309	5939
84	2334	5905
85	2361	5875
86	2387	5846
87	2410	5807
88	2437	5779
89	2464	5750
90	2491	5723
91	2517	5691
92	2543	5660
93	2572	5638
94	2596	5602
95	2623	5575
96	2652	5550
97	2675	5513
98	2702	5486
99	2730	5461
100	2759	5436
101	2779	5396
102	2804	5363
103	2831	5337
104	2857	5306
105	2881	5272
106	2908	5246
107	2934	5216
108	2962	5190
109	2988	5162
110	3013	5131
111	3041	5104
112	3069	5078
113	3098	5054
114	3126	5029
115	3157	5009
116	3189	4989
117	3216	4960
118	3246	4937
119	3276	4914
120	3303	4887
121	3331	4860
122	3353	4826
123	3378	4794
124	3401	4762
125	3428	4734
126	3452	4703
127	3470	4663
128	3494	4632
129	3518	4601
130	3545	4573
131	3570	4544
132	3597	4517
133	3624	4489
134	3652	4464
135	3677	4434
136	3703	4406
137	3730	4378
138	3757	4352
139	3785	4326
140	3812	4298
141	3838	4270
142	3864	4242
143	3891	4215
144	3916	4187
145	3944	4160
146	3969	4131
147	3995	4103
148	4023	4077
149	4051	4051
150	4078	4023
151	4103	3995
152	4132	3970
153	4159	3943
154	4186	3916
155	4212	3888
156	4237	3859
157	4266	3834
158	4291	3805
159	4316	3776
160	4341	3748
161	4363	3717
162	4390	3689
163	4415	3662
164	4445	3637
165	4472	3610
166	4497	3582
167	4523	3554
168	4547	3525
169	4575	3498
170	4602	3471
171	4627	3443
172	4651	3414
173	4680	3389
174	4709	3363
175	4735	3336
176	4763	3310
177	4791	3283
178	4817	3256
179	4843	3228
180	4869	3201
181	4898	3175
182	4926	3149
183	4951	3121
184	4977	3094
185	5006	3068
186	5033	3041
187	5057	3013
188	5085	2986
189	5111	2959
190	5137	2931
191	5162	2903
192	5188	2876
193	5215	2849
194	5243	2823
195	5271	2796
196	5298	2770
197	5325	2743
198	5352	2716
199	5378	2689
200	5405	2662
201	5428	2633
202	5454	2606
203	5484	2581
204	5512	2554
205	5539	2527
206	5568	2501
207	5597	2475
208	5628	2450
209	5658	2425
210	5690	2400
211	5721	2375
212	5749	2348
213	5774	2320
214	5802	2294
215	5831	2267
216	5855	2239
217	5880	2212
218	5907	2184
219	5932	2157
220	5953	2128
221	5979	2100
222	6002	2072
223	6024	2044
224	6044	2014
225	6067	1986
226	6090	1958
227	6118	1932
228	6140	1903
229	6159	1874
230	6178	1845
231	6196	1816
232	6218	1788
233	6237	1759
234	6258	1731
235	6284	1704
236	6307	1676
237	6324	1647
238	6346	1619
239	6372	1593
240	6398	1566
241	6427	1540
242	6453	1513
243	6479	1487
244	6507	1460
245	6533	1434
246	6560	1407
247	6582	1380
248	6608	1353
249	6633	1326
250	6662	1300
251	6692	1274
252	6723	1249
253	6752	1222
254	6779	1196
255	6803	1169
256	6828	1142
257	6858	1116
258	6884	1089
259	6905	1062
260	6925	1034
261	6949	1007
262	6970	980
263	6994	953
264	7014	926
265	7040	899
266	7062	872
267	7083	845
268	7101	818
269	7121	791
270	7143	764
271	7168	737
272	7193	711
273	7215	684
274	7239	658
275	7268	632
276	7294	605
277	7322	579
278	7349	553
279	7377	526
280	7402	500
281	7427	474
282	7453	447
283	7480	421
284	7507	395
285	7534	368
286	7560	342
287	7588	316
288	7613	289
289	7636	263
290	7664	237
291	7695	210
292	7723	184
293	7751	158
294	7773	131
295	7796	105
296	7818	78
297	7836	52
298	7857	26
299	7880	0
