content_hash_id,client_hash_id,baseline_rank,baseline_score,reason_code,rule_old,rule_never_opt,rule_thin,rule_no_keyword,is_below_peer_median,content_age_days,ever_optimized,word_count,has_keyword_data
content_6782fd6f8a102c88,client_9958f0a7ae1df715,1,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,447,0,0,0
content_d307b7e310dc410f,client_2e65897d94f60220,2,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,233,0,1743,0
content_01a7858090e1e498,client_2e65897d94f60220,3,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,224,0,1482,0
content_aea0ec82764c1ae0,client_2e65897d94f60220,4,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,223,0,1686,0
content_5f6684458791e7e1,client_2e65897d94f60220,5,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,218,0,1727,0
content_63c5bd606442f864,client_2e65897d94f60220,6,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,215,0,1511,0
content_7f2dadfbfe673267,client_3ffa76342f366962,7,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,234,0,691,0
content_7a6d38aef777907c,client_2e65897d94f60220,8,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,210,0,1169,0
content_7851e884381976c9,client_65de48885f4ef01b,9,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,268,0,1128,0
content_289ad4dcda913e43,client_ff644d8251367cbb,10,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,390,0,0,0
content_f903bde86278ec4f,client_65de48885f4ef01b,11,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,266,0,1390,0
content_9f63dca80067a4f3,client_65de48885f4ef01b,12,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,260,0,1406,0
content_bd3f98bfbc5abfb9,client_3ffa76342f366962,13,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,227,0,1042,0
content_7dd0eff68d3f3e76,client_3ffa76342f366962,14,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,224,0,725,0
content_3392e81b7140d704,client_2e65897d94f60220,15,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,215,0,1419,0
content_f8d46a01fe358df5,client_2e65897d94f60220,16,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,214,0,1460,0
content_60fe0bf07e0b9f36,client_795153d5b7850ccf,17,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,230,0,1323,0
content_e63faa70807cfe17,client_795153d5b7850ccf,18,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,218,0,1197,0
content_2d08029ed1ab1877,client_65de48885f4ef01b,19,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,280,0,1191,0
content_0b9a94d23396b765,client_65de48885f4ef01b,20,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,279,0,1392,0
content_ff2d6f8f07c78083,client_3ffa76342f366962,21,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,215,0,904,0
content_7e8083a6eb979aac,client_3ffa76342f366962,22,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,217,0,864,0
content_c60f090b96c6284e,client_65de48885f4ef01b,23,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,252,0,1600,0
content_061a31f9c7f925e5,client_65de48885f4ef01b,24,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,241,0,2110,0
content_fffa987852d8cfb1,client_65de48885f4ef01b,25,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,236,0,1300,0
content_f2e183096aac5e39,client_65de48885f4ef01b,26,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,231,0,1053,0
content_ca3f5d059157ab88,client_65de48885f4ef01b,27,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,220,0,1768,0
content_112203f548e83962,client_c182d11e4862a37d,28,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,283,0,1379,0
content_07391c5144deb0b6,client_c182d11e4862a37d,29,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,264,0,1601,0
content_2f2079530d08d0ea,client_795153d5b7850ccf,30,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,229,0,1299,0
content_0c4cb1b8347f4a78,client_b10cb2997d0c7c86,31,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,274,0,1393,0
content_fd0c706d5a891397,client_65de48885f4ef01b,32,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,245,0,1199,0
content_34a9e79341bcef46,client_e547b89c05043229,33,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,467,0,0,0
content_f23a5b0ef8dbcfa6,client_65de48885f4ef01b,34,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,246,0,1210,0
content_50488fb300b91a38,client_ff644d8251367cbb,35,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,424,0,0,0
content_6210e5a42848b5fb,client_e547b89c05043229,36,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,467,0,0,0
content_d3457e0d1ea6ce4e,client_e547b89c05043229,37,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,467,0,0,0
content_b95de78a727b7a4c,client_3ffa76342f366962,38,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,216,0,882,0
content_f989c9633a61bfec,client_9958f0a7ae1df715,39,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,447,0,0,0
content_620fb7a5670f4402,client_9958f0a7ae1df715,40,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,447,0,0,0
content_693f1e181038ec4f,client_2e65897d94f60220,41,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,224,0,1155,0
content_5595fb6d334a3707,client_3ffa76342f366962,42,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,246,0,890,0
content_99407cb063b988d2,client_3ffa76342f366962,43,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,239,0,718,0
content_932661c608d523a4,client_3ffa76342f366962,44,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,236,0,775,0
content_801dc56b94a2b068,client_3ffa76342f366962,45,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,234,0,709,0
content_5985adcd76100bbb,client_65de48885f4ef01b,46,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,271,0,1204,0
content_a92d054bcd468fe8,client_65de48885f4ef01b,47,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,259,0,1301,0
content_f8a7518addbb8102,client_795153d5b7850ccf,48,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,250,0,1638,0
content_39358f67efee7bda,client_795153d5b7850ccf,49,4,old+never_optimized+thin+no_keyword,1,1,1,1,1,231,0,1045,0
content_9461ff1c13a75453,client_795153d5b7850ccf,50,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,226,0,1394,0
content_c965a578468b881b,client_795153d5b7850ccf,51,4,old+never_optimized+thin+no_keyword,1,1,1,1,0,212,0,1464,0
