iter	Passed	Remaining
0	68	54457
1	92	36894
2	111	29631
3	129	25698
4	148	23647
5	169	22466
6	190	21551
7	212	21047
8	231	20317
9	247	19532
10	262	18835
11	279	18340
12	295	17894
13	312	17550
14	332	17390
15	351	17229
16	369	17021
17	389	16908
18	408	16794
19	427	16672
20	446	16568
21	464	16430
22	481	16252
23	499	16138
24	515	15980
25	532	15857
26	549	15725
27	564	15571
28	581	15448
29	596	15319
30	611	15179
31	627	15069
32	643	14956
33	661	14902
34	679	14854
35	697	14811
36	717	14791
37	737	14794
38	758	14804
39	778	14787
40	797	14764
41	815	14712
42	831	14641
43	849	14600
44	864	14508
45	881	14447
46	897	14382
47	913	14308
48	928	14234
49	945	14177
50	961	14119
51	976	14050
52	992	13989
53	1008	13938
54	1024	13872
55	1041	13833
56	1057	13789
57	1073	13739
58	1089	13685
59	1106	13642
60	1121	13583
61	1138	13546
62	1159	13566
63	1181	13581
64	1201	13585
65	1222	13590
66	1240	13572
67	1259	13556
68	1277	13531
69	1294	13503
70	1311	13461
71	1327	13425
72	1344	13393
73	1361	13361
74	1378	13320
75	1393	13278
76	1409	13237
77	1426	13204
78	1442	13165
79	1458	13129
80	1474	13091
81	1489	13043
82	1506	13012
83	1522	12979
84	1539	12952
85	1556	12926
86	1573	12897
87	1591	12880
88	1607	12844
89	1624	12815
90	1640	12783
91	1658	12761
92	1674	12728
93	1692	12708
94	1707	12672
95	1724	12649
96	1744	12641
97	1763	12634
98	1782	12618
99	1801	12611
100	1820	12599
101	1839	12586
102	1858	12575
103	1876	12561
104	1893	12534
105	1909	12502
106	1925	12470
107	1941	12440
108	1957	12411
109	1974	12382
110	1991	12359
111	2007	12329
112	2024	12307
113	2040	12278
114	2055	12242
115	2070	12210
116	2086	12181
117	2101	12147
118	2118	12120
119	2135	12100
120	2154	12091
121	2173	12079
122	2192	12065
123	2209	12044
124	2226	12021
125	2243	11999
126	2260	11976
127	2276	11953
128	2292	11924
129	2307	11894
130	2322	11860
131	2338	11832
132	2354	11805
133	2370	11782
134	2390	11774
135	2408	11757
136	2425	11737
137	2443	11720
138	2461	11706
139	2480	11693
140	2498	11679
141	2517	11663
142	2535	11648
143	2551	11622
144	2567	11597
145	2583	11571
146	2598	11541
147	2613	11514
148	2630	11494
149	2646	11470
150	2662	11445
151	2679	11421
152	2696	11400
153	2713	11381
154	2730	11361
155	2745	11335
156	2761	11310
157	2779	11291
158	2794	11266
159	2810	11243
160	2828	11224
161	2844	11203
162	2860	11177
163	2876	11155
164	2892	11131
165	2908	11109
166	2927	11094
167	2944	11075
168	2961	11056
169	2978	11036
170	2995	11018
171	3013	11004
172	3030	10984
173	3048	10966
174	3065	10949
175	3084	10936
176	3101	10918
177	3120	10903
178	3141	10899
179	3166	10905
180	3188	10904
181	3207	10891
182	3225	10876
183	3245	10863
184	3263	10849
185	3279	10826
186	3296	10805
187	3312	10782
188	3328	10761
189	3344	10737
190	3361	10717
191	3378	10700
192	3396	10682
193	3414	10666
194	3432	10648
195	3451	10635
196	3468	10616
197	3486	10599
198	3503	10581
199	3521	10565
200	3539	10547
201	3555	10525
202	3572	10506
203	3588	10484
204	3603	10458
205	3620	10439
206	3636	10418
207	3654	10400
208	3670	10378
209	3685	10355
210	3703	10337
211	3721	10322
212	3740	10308
213	3760	10297
214	3777	10278
215	3794	10260
